cycle,target_speed,actual_speed,error,control_signal
0,100.0000,45.1369,54.8631,90.5000
1,100.0000,50.0869,49.9131,10.1511
2,100.0000,61.9319,38.0681,24.0004
3,100.0000,69.5128,30.4872,15.5103
4,100.0000,76.1110,23.8890,13.5779
5,100.0000,81.3029,18.6971,10.7913
6,100.0000,85.5143,14.4857,8.8514
7,100.0000,88.8966,11.1034,7.2103
8,100.0000,91.6201,8.3799,5.9063
9,100.0000,93.8100,6.1900,4.8500
10,100.0000,95.5702,4.4298,3.9994
11,100.0000,96.9838,3.0162,3.3134
12,100.0000,98.1180,1.8820,2.7603
13,100.0000,99.0270,0.9730,2.3143
14,100.0000,99.7544,0.2456,1.9548
15,100.0000,100.3354,-0.3354,1.6650
16,100.0000,100.7984,-0.7984,1.4313
17,100.0000,101.1664,-1.1664,1.2430
18,100.0000,101.4577,-1.4577,1.0912
19,100.0000,101.6873,-1.6873,0.9689
20,100.0000,101.8672,-1.8672,0.8704
21,100.0000,102.0071,-2.0071,0.7910
22,100.0000,102.1147,-2.1147,0.7271
23,100.0000,102.1963,-2.1963,0.6756
24,100.0000,102.2571,-2.2571,0.6341
25,100.0000,102.3011,-2.3011,0.6008
26,100.0000,102.3316,-2.3316,0.5740
27,100.0000,102.3514,-2.3514,0.5525
28,100.0000,102.3624,-2.3624,0.5352
29,100.0000,102.3665,-2.3665,0.5213
30,100.0000,102.3651,-2.3651,0.5102
31,100.0000,102.3592,-2.3592,0.5013
32,100.0000,102.3498,-2.3498,0.4942
33,100.0000,102.3376,-2.3376,0.4886
34,100.0000,102.3232,-2.3232,0.4841
35,100.0000,102.3071,-2.3071,0.4806
36,100.0000,102.2896,-2.2896,0.4778
37,100.0000,102.2711,-2.2711,0.4756
38,100.0000,102.2518,-2.2518,0.4739
39,100.0000,102.2319,-2.2319,0.4726
40,100.0000,102.2116,-2.2116,0.4717
41,100.0000,102.1910,-2.1910,0.4710
42,100.0000,102.1701,-2.1701,0.4704
43,100.0000,102.1491,-2.1491,0.4701
44,100.0000,102.1281,-2.1281,0.4699
45,100.0000,102.1071,-2.1071,0.4698
46,100.0000,102.0861,-2.0861,0.4697
47,100.0000,102.0652,-2.0652,0.4698
48,100.0000,102.0444,-2.0444,0.4699
49,100.0000,102.0237,-2.0237,0.4700
50,100.0000,102.0032,-2.0032,0.4702
51,100.0000,101.9828,-1.9828,0.4704
52,100.0000,101.9626,-1.9626,0.4706
53,100.0000,101.9425,-1.9425,0.4709
54,100.0000,101.9226,-1.9226,0.4711
55,100.0000,101.9029,-1.9029,0.4714
56,100.0000,101.8834,-1.8834,0.4716
57,100.0000,101.8640,-1.8640,0.4719
58,100.0000,101.8449,-1.8449,0.4722
59,100.0000,101.8259,-1.8259,0.4725
60,100.0000,101.8071,-1.8071,0.4728
61,100.0000,101.7885,-1.7885,0.4730
62,100.0000,101.7701,-1.7701,0.4733
63,100.0000,101.7519,-1.7519,0.4736
64,100.0000,101.7339,-1.7339,0.4739
65,100.0000,101.7160,-1.7160,0.4741
66,100.0000,101.6983,-1.6983,0.4744
67,100.0000,101.6808,-1.6808,0.4747
68,100.0000,101.6635,-1.6635,0.4750
69,100.0000,101.6464,-1.6464,0.4752
70,100.0000,101.6294,-1.6294,0.4755
71,100.0000,101.6126,-1.6126,0.4758
72,100.0000,101.5960,-1.5960,0.4760
73,100.0000,101.5796,-1.5796,0.4763
74,100.0000,101.5633,-1.5633,0.4765
75,100.0000,101.5472,-1.5472,0.4768
76,100.0000,101.5313,-1.5313,0.4770
77,100.0000,101.5155,-1.5155,0.4773
78,100.0000,101.4999,-1.4999,0.4775
79,100.0000,101.4844,-1.4844,0.4778
80,100.0000,101.4691,-1.4691,0.4780
81,100.0000,101.4540,-1.4540,0.4783
82,100.0000,101.4390,-1.4390,0.4785
83,100.0000,101.4242,-1.4242,0.4787
84,100.0000,101.4095,-1.4095,0.4790
85,100.0000,101.3950,-1.3950,0.4792
86,100.0000,101.3806,-1.3806,0.4794
87,100.0000,101.3664,-1.3664,0.4796
88,100.0000,101.3523,-1.3523,0.4799
89,100.0000,101.3383,-1.3383,0.4801
90,100.0000,101.3245,-1.3245,0.4803
91,100.0000,101.3109,-1.3109,0.4805
92,100.0000,101.2974,-1.2974,0.4807
93,100.0000,101.2840,-1.2840,0.4809
94,100.0000,101.2708,-1.2708,0.4812
95,100.0000,101.2577,-1.2577,0.4814
